,app,category,rating,reviews,size,installs,type,price,content_rating,genres,update_year,update_month,update_day,update_weekday,last_updated,current_ver,android_ver,sentiment,sentiment_polarity,sentiment_subjectivity
27,Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418.0,4.2,100000.0,Free,0.0,Everyone,"['Books', 'Reference']",2018.0,3.0,27.0,Tuesday,2018-03-27,2.1,4.1,Positive,0.25,0.26666666666666666
28,FBReader: Favorite Book Reader,BOOKS_AND_REFERENCE,4.5,203130.0,Varies,10000000.0,Free,0.0,Everyone,"['Books', 'Reference']",2018.0,6.0,28.0,Thursday,2018-06-28,Varies,Varies,Positive,0.2777048112144266,0.4724487336025797
29,AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468.0,5.9,5000000.0,Free,0.0,Everyone,"['Books', 'Reference']",2018.0,5.0,27.0,Sunday,2018-05-27,1.911805270,2.3,Positive,0.2455511849261849,0.41257682132682133
30,FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506.0,17.0,1000000.0,Free,0.0,Everyone,"['Books', 'Reference']",2018.0,7.0,20.0,Friday,2018-07-20,2.3.18,4.1,Positive,0.20932583022687187,0.43582595799262464
31,Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842.0,37.0,5000000.0,Free,0.0,Everyone,"['Books', 'Reference']",2018.0,6.0,25.0,Monday,2018-06-25,5.0.6,4,Positive,0.34253248776686274,0.5815682157348824
32,All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709.0,6.8,1000000.0,Free,0.0,Everyone,"['Books', 'Reference']",2018.0,7.0,11.0,Wednesday,2018-07-11,1.9,4.4,Positive,0.354636544011544,0.421768278018278
33,Ancestry,BOOKS_AND_REFERENCE,4.3,64513.0,Varies,5000000.0,Free,0.0,Everyone,"['Books', 'Reference']",2018.0,7.0,31.0,Tuesday,2018-07-31,Varies,Varies,Positive,0.27263030438253655,0.5161272868415725
34,HTC Help,BOOKS_AND_REFERENCE,4.2,8342.0,Varies,10000000.0,Free,0.0,Everyone,"['Books', 'Reference']",2017.0,8.0,28.0,Monday,2017-08-28,9.0.950462,7,Positive,0.10687021254208755,0.3478900462962963
35,English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788.0,10.0,1000000.0,Free,0.0,Everyone,"['Books', 'Reference']",2018.0,7.0,28.0,Saturday,2018-07-28,2.5.3,4,Positive,0.3852300027300027,0.39684650559650564
36,Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269.0,6.1,1000000.0,Free,0.0,Everyone,"['Books', 'Reference']",2018.0,7.0,19.0,Thursday,2018-07-19,7.0.4.6,4.2,Positive,0.34045045045045047,0.4903003003003003
37,All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105.0,2.1,1000000.0,Free,0.0,Everyone,"['Books', 'Reference']",2018.0,7.0,29.0,Sunday,2018-07-29,1.15,4.0.3,Positive,0.3994312583967757,0.5672749664128974
38,Azpen eReader,BOOKS_AND_REFERENCE,3.5,156.0,42.0,500000.0,Free,0.0,Everyone,"['Books', 'Reference']",2018.0,2.0,15.0,Thursday,2018-02-15,3.1.7.9,2.2,Positive,0.24262422360248445,0.5973257418909593
39,Docs To Go™ Free Office Suite,BUSINESS,4.1,217730.0,Varies,50000000.0,Free,0.0,Everyone,['Business'],2018.0,4.0,2.0,Monday,2018-04-02,Varies,Varies,Positive,0.19682523495023493,0.3919988344988345
40,Google My Business,BUSINESS,4.4,70991.0,Varies,5000000.0,Free,0.0,Everyone,['Business'],2018.0,7.0,24.0,Tuesday,2018-07-24,2.19.0.204537701,4.4,Positive,0.24781122031122033,0.4304668304668305
41,Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4.5,4458.0,3.9,500000.0,Free,0.0,Everyone,['Business'],2018.0,7.0,8.0,Sunday,2018-07-08,3.3,4.1,Positive,0.3937034821903243,0.4980359041543252
42,Google Primer,BUSINESS,4.4,62272.0,18.0,10000000.0,Free,0.0,Everyone,['Business'],2018.0,6.0,26.0,Tuesday,2018-06-26,3.550.2,4.1,Positive,0.75,0.675
43,Facebook Pages Manager,BUSINESS,4.0,1279184.0,Varies,50000000.0,Free,0.0,Everyone,['Business'],2018.0,8.0,2.0,Thursday,2018-08-02,Varies,Varies,Negative,-0.061082728545963846,0.44085285629403276
44,Box,BUSINESS,4.2,159872.0,Varies,10000000.0,Free,0.0,Everyone,['Business'],2018.0,7.0,31.0,Tuesday,2018-07-31,Varies,Varies,Positive,0.3997373642439432,0.42679928989139515
45,Call Blocker,BUSINESS,4.6,188841.0,3.2,5000000.0,Free,0.0,Everyone,['Business'],2018.0,6.0,21.0,Thursday,2018-06-21,1.1.13,4,Positive,0.02797258297258297,0.6554310966810967
46,Easy Installer - Apps On SD,BUSINESS,4.1,23055.0,Varies,5000000.0,Free,0.0,Everyone,['Business'],2018.0,6.0,8.0,Friday,2018-06-08,Varies,Varies,Negative,-0.009110334110334113,0.3106934731934732
47,Facebook Ads Manager,BUSINESS,4.1,19023.0,Varies,1000000.0,Free,0.0,Everyone,['Business'],2018.0,8.0,1.0,Wednesday,2018-08-01,99.0.0.35.75,4.1,Positive,0.20340053597196453,0.31926272933415795
48,Genius Scan - PDF Scanner,BUSINESS,4.4,42492.0,Varies,1000000.0,Free,0.0,Everyone,['Business'],2018.0,7.0,11.0,Wednesday,2018-07-11,Varies,Varies,Positive,0.24316067612942613,0.5183336855452241
49,Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755.0,14.0,10000000.0,Free,0.0,Everyone,['Business'],2018.0,7.0,11.0,Wednesday,2018-07-11,3.9.2,4.1,Positive,0.31089752839752843,0.4235390072890073
50,Google Ads,BUSINESS,4.3,29313.0,20.0,5000000.0,Free,0.0,Everyone,['Business'],2018.0,7.0,30.0,Monday,2018-07-30,1.12,4.0.3,Positive,0.11263894367740522,0.42835729939576095
51,FreshBooks Classic,BUSINESS,4.1,1802.0,26.0,100000.0,Free,0.0,Everyone,['Business'],2018.0,4.0,18.0,Wednesday,2018-04-18,1.7.14,4.2,Positive,0.09312609315287887,0.4681558747139104
52,HipChat - Chat Built for Teams,BUSINESS,3.8,5868.0,20.0,500000.0,Free,0.0,Everyone,['Business'],2018.0,7.0,3.0,Tuesday,2018-07-03,3.19.5,4.1,Negative,-0.028421106879753497,0.36502494398875973
53,Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159.0,48.0,500000.0,Free,0.0,Everyone,['Business'],2018.0,7.0,20.0,Friday,2018-07-20,6.1.2,4.0.3,Positive,0.41386044130327665,0.5950057801277313
54,Asana: organize team projects,BUSINESS,4.3,20815.0,10.0,1000000.0,Free,0.0,Everyone,['Business'],2018.0,7.0,26.0,Thursday,2018-07-26,6.4.4,5,Positive,0.23486037352379857,0.5077407597936535
55,AdWords Express,BUSINESS,4.1,7149.0,11.0,1000000.0,Free,0.0,Everyone,['Business'],2018.0,7.0,31.0,Tuesday,2018-07-31,2.6.158,4,Positive,0.19672943722943723,0.30163780663780665
56,Accounting App - Zoho Books,BUSINESS,4.5,3079.0,8.5,100000.0,Free,0.0,Everyone,['Business'],2018.0,8.0,2.0,Thursday,2018-08-02,5.20.7,4.1,Positive,0.42844533208020047,0.5053508771929824
57,Cisco Webex Meetings,BUSINESS,4.4,108741.0,28.0,10000000.0,Free,0.0,Everyone,['Business'],2018.0,7.0,20.0,Friday,2018-07-20,11.1,4.3,Positive,0.10357702482702483,0.4623848528015195
58,Cisco Webex Teams,BUSINESS,4.2,1661.0,46.0,100000.0,Free,0.0,Everyone,['Business'],2018.0,8.0,2.0,Thursday,2018-08-02,3.0.4651,4.4,Positive,0.10709551251217918,0.4459280842614176
59,DC Comics,COMICS,4.2,25671.0,Varies,1000000.0,Free,0.0,Teen,['Comics'],2018.0,6.0,5.0,Tuesday,2018-06-05,Varies,Varies,Positive,0.4924897443826015,0.6226421475350047
60,"Best Wallpapers Backgrounds(100,000+ 4K HD)",COMICS,4.7,3596.0,7.8,10000.0,Free,0.0,Teen,['Comics'],2018.0,6.0,16.0,Saturday,2018-06-16,1.1,4.0.3,Positive,0.30042929292929293,0.38994949494949493
61,Gmail,COMMUNICATION,4.3,4604324.0,Varies,1000000000.0,Free,0.0,Everyone,['Communication'],2018.0,8.0,2.0,Thursday,2018-08-02,Varies,Varies,Positive,0.05801594441438192,0.45613752855940354
62,Hangouts,COMMUNICATION,4.0,3419249.0,Varies,1000000000.0,Free,0.0,Everyone,['Communication'],2018.0,7.0,21.0,Saturday,2018-07-21,Varies,Varies,Positive,0.23935476754148627,0.5250054388127305
63,Firefox Browser fast & private,COMMUNICATION,4.4,3075028.0,Varies,100000000.0,Free,0.0,Everyone,['Communication'],2018.0,7.0,10.0,Tuesday,2018-07-10,Varies,Varies,Positive,0.10724005127197767,0.5209076406906494
64,Contacts,COMMUNICATION,4.3,66602.0,Varies,50000000.0,Free,0.0,Everyone,['Communication'],2018.0,6.0,26.0,Tuesday,2018-06-26,2.8.4.201036949,5,Positive,0.012248710230089456,0.47213382638664597
65,Browser 4G,COMMUNICATION,4.3,192948.0,6.6,10000000.0,Free,0.0,Everyone,['Communication'],2018.0,6.0,19.0,Tuesday,2018-06-19,24.6.6,4.0.3 - 7.1.1,Positive,0.358151337594697,0.4705847537878788
66,Cricket Visual Voicemail,COMMUNICATION,3.9,13698.0,5.1,10000000.0,Free,0.0,Everyone,['Communication'],2018.0,7.0,2.0,Monday,2018-07-02,3.2.0.100171,4.1,Positive,0.062002591819556106,0.4195424700960415
67,Firefox Focus: The privacy browser,COMMUNICATION,4.4,36880.0,4.0,1000000.0,Free,0.0,Everyone,['Communication'],2018.0,7.0,6.0,Friday,2018-07-06,5.2,5,Positive,0.21478091728091728,0.5599852371727372
68,Google Voice,COMMUNICATION,4.2,171031.0,Varies,10000000.0,Free,0.0,Everyone,['Communication'],2018.0,8.0,3.0,Friday,2018-08-03,Varies,Varies,Positive,0.15247928503787878,0.19622159090909091
69,Chrome Dev,COMMUNICATION,4.4,63543.0,Varies,5000000.0,Free,0.0,Everyone,['Communication'],2018.0,8.0,2.0,Thursday,2018-08-02,69.0.3497.24,Varies,Positive,0.3058902989260132,0.5056859155073441
70,Android Messages,COMMUNICATION,4.2,781810.0,Varies,100000000.0,Free,0.0,Everyone,['Communication'],2018.0,8.0,1.0,Wednesday,2018-08-01,Varies,Varies,Positive,0.07329539876536947,0.5069170687530062
71,Google Duo - High Quality Video Calls,COMMUNICATION,4.6,2083237.0,Varies,500000000.0,Free,0.0,Everyone,['Communication'],2018.0,7.0,31.0,Tuesday,2018-07-31,37.1.206017801.DR37_RC14,4.4,Positive,0.2856898148148148,0.49799074074074073
72,AT&T Visual Voicemail,COMMUNICATION,3.7,13761.0,Varies,10000000.0,Free,0.0,Everyone,['Communication'],2018.0,6.0,27.0,Wednesday,2018-06-27,Varies,Varies,Positive,0.029975541125541127,0.45259386724386724
73,GMX Mail,COMMUNICATION,4.3,258556.0,Varies,10000000.0,Free,0.0,Everyone,['Communication'],2018.0,7.0,25.0,Wednesday,2018-07-25,Varies,Varies,Positive,0.3400470779220779,0.5407398018648019
74,Calls & Text by Mo+,COMMUNICATION,4.2,83239.0,14.0,5000000.0,Free,0.0,Everyone,['Communication'],2018.0,4.0,19.0,Thursday,2018-04-19,3.0.4,4,Positive,0.4666666666666666,0.5458333333333334
75,"GO SMS Pro - Messenger, Free Themes, Emoji",COMMUNICATION,4.4,2876500.0,24.0,100000000.0,Free,0.0,Everyone,['Communication'],2018.0,8.0,1.0,Wednesday,2018-08-01,7.73,4,Positive,0.2024882756132756,0.4398316960816961
76,GroupMe,COMMUNICATION,4.5,330761.0,Varies,10000000.0,Free,0.0,Everyone,['Communication'],2018.0,7.0,3.0,Tuesday,2018-07-03,Varies,Varies,Positive,0.11844004086191585,0.518137446598985
77,BBM - Free Calls & Messages,COMMUNICATION,4.3,12842860.0,Varies,100000000.0,Free,0.0,Everyone,['Communication'],2018.0,8.0,2.0,Thursday,2018-08-02,Varies,4.0.3,Positive,0.13837687744368582,0.4578284066151713
78,2ndLine - Second Phone Number,COMMUNICATION,4.2,15880.0,32.0,1000000.0,Free,0.0,Everyone,['Communication'],2018.0,8.0,3.0,Friday,2018-08-03,5.65,4,Positive,0.16896820887445888,0.3770225018037518
79,"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,4.6,2264916.0,6.1,50000000.0,Free,0.0,Everyone,['Communication'],2018.0,7.0,31.0,Tuesday,2018-07-31,5.22.18.6,4,Positive,0.012500000000000011,0.6875
80,DU Browser—Browse fast & fun,COMMUNICATION,4.3,1133501.0,4.7,10000000.0,Free,0.0,Everyone,['Communication'],2016.0,4.0,1.0,Friday,2016-04-01,6.4.0.4,4,Positive,0.17726609823708034,0.5062402473518545
81,Contacts+,COMMUNICATION,4.2,190613.0,11.0,10000000.0,Free,0.0,Everyone,['Communication'],2018.0,7.0,31.0,Tuesday,2018-07-31,5.85.1,4.0.3,Positive,0.41081458319945163,0.4530827603196025
82,ExDialer - Dialer & Contacts,COMMUNICATION,4.2,125232.0,2.7,10000000.0,Free,0.0,Everyone,['Communication'],2017.0,3.0,5.0,Sunday,2017-03-05,196,2.1,Positive,0.2713527987019366,0.49568862814039333
83,Full Screen Caller ID,COMMUNICATION,4.2,104990.0,10.0,5000000.0,Free,0.0,Everyone,['Communication'],2018.0,5.0,15.0,Tuesday,2018-05-15,3.5,4.0.3,Positive,0.3370953282828283,0.45921717171717175
84,"CallApp: Caller ID, Blocker & Phone Call Recorder",COMMUNICATION,4.4,483565.0,20.0,10000000.0,Free,0.0,Everyone,['Communication'],2018.0,7.0,29.0,Sunday,2018-07-29,1.286,4.1,Positive,0.3907407407407408,0.5064814814814815
85,CIA - Caller ID & Call Blocker,COMMUNICATION,4.0,60308.0,Varies,5000000.0,Free,0.0,Everyone,['Communication'],2018.0,6.0,22.0,Friday,2018-06-22,Varies,Varies,Positive,0.21781462585034012,0.42982993197278907
86,Calls Blacklist - Call Blocker,COMMUNICATION,4.5,457283.0,Varies,10000000.0,Free,0.0,Everyone,['Communication'],2018.0,5.0,24.0,Thursday,2018-05-24,Varies,Varies,Positive,0.12416233766233765,0.6151919191919192
87,Call Control - Call Blocker,COMMUNICATION,4.4,93825.0,11.0,5000000.0,Free,0.0,Everyone,['Communication'],2018.0,7.0,5.0,Thursday,2018-07-05,2.17.3,4.1,Negative,-0.041666666666666664,0.2916666666666667
88,Burner - Free Phone Number,COMMUNICATION,4.3,14873.0,Varies,1000000.0,Free,0.0,Everyone,['Communication'],2018.0,7.0,12.0,Thursday,2018-07-12,Varies,Varies,Positive,0.06530092592592592,0.6361111111111111
89,Caller ID +,COMMUNICATION,4.0,9498.0,Varies,1000000.0,Free,0.0,Everyone,['Communication'],2016.0,6.0,7.0,Tuesday,2016-06-07,5.28,2.3,Positive,0.35,0.6000000000000001
90,All Email Providers,COMMUNICATION,4.1,20901.0,7.3,1000000.0,Free,0.0,Everyone,['Communication'],2018.0,4.0,3.0,Tuesday,2018-04-03,5.0.9,4.1,Positive,0.21500000000000002,0.6066666666666667
91,GO Notifier,COMMUNICATION,4.2,124346.0,Varies,10000000.0,Free,0.0,Everyone,['Communication'],2014.0,7.0,6.0,Sunday,2014-07-06,2.8,2,Positive,0.06751958927510397,0.4230678104575163
92,"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556.0,56.0,100000.0,Free,0.0,Mature 17+,['Dating'],2018.0,8.0,1.0,Wednesday,2018-08-01,2.5.2,4.1,Positive,0.03317512531328319,0.5712475633528266
93,Hinge: Dating & Relationships,DATING,4.2,7779.0,12.0,500000.0,Free,0.0,Mature 17+,['Dating'],2018.0,8.0,3.0,Friday,2018-08-03,6.1.3,5,Positive,0.170452248368915,0.5012274222690889
94,BBW Dating & Plus Size Chat,DATING,4.4,12632.0,29.0,1000000.0,Free,0.0,Mature 17+,['Dating'],2018.0,7.0,27.0,Friday,2018-07-27,3.5.0.1,4.1,Positive,0.13124668499668501,0.4910167553917554
95,CMB Free Dating App,DATING,4.0,48845.0,40.0,1000000.0,Free,0.0,Mature 17+,['Dating'],2018.0,8.0,1.0,Wednesday,2018-08-01,4.19.0.2320,4.4,Positive,0.2879371370442799,0.5508914387485816
96,Free Dating App & Flirt Chat - Match with Singles,DATING,4.4,172460.0,3.1,5000000.0,Free,0.0,Mature 17+,['Dating'],2018.0,8.0,4.0,Saturday,2018-08-04,1.639,4,Positive,0.25038461538461537,0.5484829059829059
97,Black People Meet Singles Date,DATING,3.9,10212.0,5.0,1000000.0,Free,0.0,Mature 17+,['Dating'],2018.0,7.0,25.0,Wednesday,2018-07-25,1.9.7,4.4,Positive,0.27275577405548995,0.47463888069001703
98,Free Dating App & Flirt Chat - Cheers,DATING,4.4,667.0,27.0,10000.0,Free,0.0,Mature 17+,['Dating'],2018.0,8.0,3.0,Friday,2018-08-03,1.308.us,4.1,Positive,0.3019262941919192,0.47738162878787876
99,Free Dating Hook Up Messenger,DATING,3.3,1157.0,21.0,100000.0,Free,0.0,Mature 17+,['Dating'],2017.0,1.0,27.0,Friday,2017-01-27,5.0.1,4.2,Positive,0.143754714775754,0.5202051573666059
100,BLK - Swipe. Match. Chat.,DATING,4.1,2067.0,24.0,100000.0,Free,0.0,Mature 17+,['Dating'],2018.0,7.0,25.0,Wednesday,2018-07-25,1.6.1,4.4,Positive,0.30767763519549235,0.5519399908953481
101,Cougar Dating Life : Date Older Women Sugar Mummy,DATING,3.9,1643.0,31.0,500000.0,Free,0.0,Mature 17+,['Dating'],2018.0,7.0,3.0,Tuesday,2018-07-03,4.5.5,4.1,Positive,0.2820344717011384,0.5633890091390091
102,Free Dating & Flirt Chat - Choice of Love,DATING,4.0,42194.0,Varies,5000000.0,Free,0.0,Mature 17+,['Dating'],2018.0,7.0,24.0,Tuesday,2018-07-24,Varies,Varies,Positive,0.042305871212121204,0.37647964015151514
103,BeWild Free Dating & Chat App,DATING,3.4,1999.0,8.0,100000.0,Free,0.0,Mature 17+,['Dating'],2017.0,2.0,3.0,Friday,2017-02-03,1.6.5,4.2,Positive,0.17037221276530484,0.5180704969575584
104,"FastMeet: Chat, Dating, Love",DATING,4.2,22544.0,5.9,1000000.0,Free,0.0,Mature 17+,['Dating'],2018.0,7.0,27.0,Friday,2018-07-27,1.31.4,4.0.3,Positive,0.2924706625074272,0.5084057486631016
105,"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,4.1,97684.0,7.9,1000000.0,Free,0.0,Mature 17+,['Dating'],2018.0,7.0,10.0,Tuesday,2018-07-10,1.230,4.0.3,Positive,0.11868942806442805,0.4541756854256854
106,Dating for 50 plus Mature Singles – FINALLY,DATING,4.6,13046.0,13.0,500000.0,Free,0.0,Mature 17+,['Dating'],2018.0,7.0,31.0,Tuesday,2018-07-31,4.17.2,4.1,Positive,0.3879629629629629,0.5935185185185186
107,Christian Dating For Free App,DATING,3.9,8722.0,13.0,500000.0,Free,0.0,Mature 17+,['Dating'],2018.0,6.0,20.0,Wednesday,2018-06-20,15.8,4.1,Positive,0.09802603289938563,0.4786601830996281
108,"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.4,35206.0,7.2,1000000.0,Free,0.0,Everyone,['Dating'],2018.0,5.0,21.0,Monday,2018-05-21,2.9.6,4,Negative,-0.07271834506682992,0.4605797027514199
109,Free Dating App - Meet Local Singles - Flirt Chat,DATING,4.1,825.0,Varies,100000.0,Free,0.0,Mature 17+,['Dating'],2017.0,12.0,28.0,Thursday,2017-12-28,1.0.5,4,Negative,-0.034295519295519286,0.5568819143819144
110,"Chat Rooms, Avatars, Date - Galaxy",DATING,4.3,135418.0,Varies,10000000.0,Free,0.0,Mature 17+,['Dating'],2018.0,7.0,7.0,Saturday,2018-07-07,Varies,Varies,Positive,0.1380524855853803,0.42106441797231275
111,Gay Sugar Daddy Dating & Hookup – Sudy Gay,DATING,4.1,2212.0,41.0,100000.0,Free,0.0,Mature 17+,['Dating'],2018.0,6.0,20.0,Wednesday,2018-06-20,2.0.5,4.0.3,Positive,0.17929366866866864,0.639232982982983
112,BBWCupid - BBW Dating App,DATING,3.5,241.0,2.8,50000.0,Free,0.0,Mature 17+,['Dating'],2018.0,6.0,1.0,Friday,2018-06-01,2.2.0.1748,5,Positive,0.12691173304809666,0.47169284419284424
113,ChatVideo Meet new people,DATING,4.2,63986.0,20.0,5000000.0,Free,0.0,Mature 17+,['Dating'],2018.0,5.0,31.0,Thursday,2018-05-31,3.0.15,4,Positive,0.23191982566982566,0.3930076342576343
114,FlirtChat - ♥Free Dating/Flirting App♥,DATING,4.3,2430.0,13.0,500000.0,Free,0.0,Mature 17+,['Dating'],2018.0,7.0,26.0,Thursday,2018-07-26,12.0.4,4.1,Positive,0.3814362108479756,0.4643525592055004
